NAT_Type,Internal_IP,External_IP,Hostname,Description,Port
static,10.60.132.10,209.102.209.1,,,
static,10.60.132.11,209.102.209.2,,,
static,10.60.132.12,209.102.209.3,,,
static,10.60.66.10,209.102.209.10,,,
static,10.60.66.11,209.102.209.11,,,
static,10.60.66.12,209.102.209.12,,,
static,10.60.66.13,209.102.209.13,,,
static,10.60.66.14,209.102.209.14,,,
static,10.60.66.15,209.102.209.15,,,
static,10.60.98.240,209.102.209.240,,,
static,10.60.66.16,209.102.209.16,,,
static,10.60.98.238,209.102.209.238,,,
static,10.60.98.239,209.102.209.239,,,
static,10.60.97.50,209.102.209.50,,,
static,10.60.68.100,209.102.209.100,,,
static,10.60.97.53,209.102.209.53,,,
dynamic,10.60.139.50,209.102.209.254,,,
dynamic,10.60.129.38,209.102.209.254,,,
dynamic,10.60.129.39,209.102.209.254,,,
dynamic,10.60.129.48,209.102.209.254,,,
dynamic,10.60.129.49,209.102.209.254,,,
dynamic,10.60.132.24,209.102.209.254,,,
dynamic,10.60.132.25,209.102.209.254,,,
dynamic,10.60.132.150,209.102.209.254,,,
dynamic,10.60.132.53,209.102.209.254,,,
dynamic,10.60.132.58,209.102.209.254,,,
dynamic,10.60.132.50,209.102.209.254,,,
dynamic,10.60.132.57,209.102.209.254,,,
dynamic,10.60.132.51,209.102.209.254,,,
dynamic,10.60.132.54,209.102.209.254,,,
dynamic,10.60.132.56,209.102.209.254,,,
dynamic,10.60.132.52,209.102.209.254,,,
dynamic,10.60.132.28,209.102.209.254,,,
dynamic,10.60.132.27,209.102.209.254,,,
static,10.60.98.241,209.102.209.241,,,
static,10.60.98.242,209.102.209.242,,,
static,10.60.98.243,209.102.209.243,,,
static,10.60.98.244,209.102.209.244,,,
static,10.60.132.20,209.102.209.4,,,
static,10.60.132.21,209.102.209.5,,,
static,10.60.132.22,209.102.209.6,,,
static,10.60.98.245,209.102.209.245,,,
static,10.60.98.246,209.102.209.246,,,
static,10.60.98.249,209.102.209.249,,,
static,10.60.98.247,209.102.209.247,,,
static,10.60.98.248,209.102.209.248,,,
static,10.60.98.12,209.102.209.112,,,
static,10.60.66.17,209.102.209.113,,,
static,10.60.132.16,209.102.209.7,,,
static,10.60.132.17,209.102.209.8,,,
static,10.60.132.18,209.102.209.9,,,
static,10.60.132.19,209.102.209.17,,,
static,10.60.97.17,209.102.209.217,,,
static,10.60.97.49,209.102.209.49,,,
static,10.60.132.30,209.102.209.18,,,
static,10.60.132.31,209.102.209.19,,,
static,10.60.132.32,209.102.209.20,,,
static,10.60.132.33,209.102.209.21,,,
static,10.60.97.131,209.102.209.131,,,
static,10.60.98.11,209.102.209.22,,,
static,10.60.132.34,139.104.206.34,,,
static,10.60.132.35,139.104.206.35,,,
static,10.60.132.36,139.104.206.36,,,
static,10.60.132.37,139.104.206.37,,,
static,10.60.132.38,139.104.206.38,,,
static,10.60.132.39,139.104.206.39,,,
