Description,External_IP,Hostname,NAT_Type,Internal_IP,Port
,209.102.209.1,proxy01.prod.med3.util.mlbam.net,static,10.60.132.10,
,209.102.209.2,proxy02.prod.med3.util.mlbam.net,static,10.60.132.11,
,209.102.209.3,proxy03.prod.med3.util.mlbam.net,static,10.60.132.12,
,209.102.209.10,epg-service-sony-int,static,10.60.66.10,
,209.102.209.11,sentv-user-ext-int,static,10.60.66.11,
,209.102.209.12,sentv-user-auth-int,static,10.60.66.12,
,209.102.209.13,sentv-user-action-int,static,10.60.66.13,
,209.102.209.14,media-framework-sony,static,10.60.66.14,
,209.102.209.15,key-service-sony-int,static,10.60.66.15,
,209.102.209.240,epg-admin-portal-int,static,10.60.98.240,
,209.102.209.16,epg-image-origin,static,10.60.66.16,
,209.102.209.238,provisioning_post_production,static,10.60.98.238,
,209.102.209.239,provisioning_ui,static,10.60.98.239,
,209.102.209.50,aspproxy01.c01.xfer.gen.med3.prod,static,10.60.97.50,
,209.102.209.100,bastion01.c01.l3.sony.med3.util.mlbam.net,static,10.60.68.100,
,209.102.209.53,aspproxy02.c01.xfer.gen.med3.prod,static,10.60.97.53,
,209.102.209.254,nagios01.c01.noc.mlb.med3.util,dynamic,10.60.129.38,
,209.102.209.254,puppet.c01.pm.mlb.med3.util.mlbam.net,dynamic,10.60.129.39,
,209.102.209.254,nagios02.c01.noc.mlb.med3.util.mlbam.net,dynamic,10.60.129.48,
,209.102.209.254,nagiosql03.c01.noc.mlb.med3.util.mlbam.net,dynamic,10.60.129.49,
,209.102.209.254,rbind01.c01.dns.gen.med3.util,dynamic,10.60.132.24,
,209.102.209.254,rbind02.c01.dns.gen.med3.util,dynamic,10.60.132.25,
,209.102.209.254,agent01.c01.1keyes.gen.med3.net.bamtech.co,dynamic,10.60.132.150,
,209.102.209.254,proxy04.linear01.infra.sony.med3.prod.bamtech.co,dynamic,10.60.132.53,
,209.102.209.254,proxy01.linear01.infra.sony.med3.prod.bamtech.co,dynamic,10.60.132.50,
,209.102.209.254,proxy08.linear01.infra.sony.med3.prod.bamtech.co	,dynamic,10.60.132.57,
,209.102.209.254,proxy02.linear01.infra.sony.med3.prod.bamtech.co,dynamic,10.60.132.51,
,209.102.209.254,proxy05.linear01.infra.sony.med3.prod.bamtech.co	,dynamic,10.60.132.54,
,209.102.209.254,proxy07.linear01.infra.sony.med3.prod.bamtech.co	,dynamic,10.60.132.56,
,209.102.209.254,proxy03.linear01.infra.sony.med3.prod.bamtech.co,dynamic,10.60.132.52,
'jenkins-coreinfra-prod-creation_v7-create_vms-135',209.102.209.254,rbind02.c01.dns.gen.med3.util.bamtech.co,dynamic,10.60.132.28,
'jenkins-coreinfra-prod-creation_v7-create_vms-135',209.102.209.254,rbind01.c01.dns.gen.med3.util.bamtech.co,dynamic,10.60.132.27,
,209.102.209.241,jobmgr-hbo-dev-web,static,10.60.98.241,
,209.102.209.242,mpipe-hbo-dev-web,static,10.60.98.242,
,209.102.209.243,jobmgr-hbo-qa-web,static,10.60.98.243,
,209.102.209.244,mpipe-hbo-qa-web,static,10.60.98.244,
,209.102.209.4,proxy04.prod.med3.util.mlbam.net,static,10.60.132.20,
,209.102.209.5,proxy05.prod.med3.util.mlbam.net,static,10.60.132.21,
,209.102.209.6,proxy06.prod.med3.util.mlbam.net,static,10.60.132.22,
,209.102.209.245,ams-hbo-dev-web,static,10.60.98.245,
,209.102.209.246,ams-hbo-qa-web,static,10.60.98.246,
,209.102.209.249,ams-hbo-prod-web,static,10.60.98.249,
,209.102.209.247,jobmgr-hbo-prod-web,static,10.60.98.247,
,209.102.209.248,mpipe-hbo-prod-web,static,10.60.98.248,
,209.102.209.112,jetty_adconext_sony_cs_ssl_vipA,static,10.60.98.12,
,209.102.209.113,hls_adweb_sony,static,10.60.66.17,
VM,209.102.209.7,dlproxy01.c01.web.sony.med3.prod.mlbam.net,static,10.60.132.16,VM
VM,209.102.209.8,dlproxy02.c01.web.sony.med3.prod.mlbam.net,static,10.60.132.17,VM
"ip pinging, tagged by hal",209.102.209.9,,static,10.60.132.18,
"ip pinging, tagged by hal",209.102.209.17,,static,10.60.132.19,
,209.102.209.217, ftp01.c01.nbc.sony.med3.prod.mlbam.net,static,10.60.97.17,
VM,209.102.209.18,proxy01.c01.infra.gen.med3.prod.mlbam.net,static,10.60.132.30,VM
VM,209.102.209.19,proxy02.c01.infra.gen.med3.prod.mlbam.net ,static,10.60.132.31,VM
VM,209.102.209.20,proxy03.c01.infra.gen.med3.prod.mlbam.net ,static,10.60.132.32,VM
VM,209.102.209.21,proxy04.c01.infra.gen.med3.prod.mlbam.net ,static,10.60.132.33,VM
209.102.209.131,209.102.209.131,M3IRDRX232,static,10.60.97.131,
209.102.209.22,209.102.209.22,jetty_jmfe_sony_cs_ssl_vipA,static,10.60.98.11,
,139.104.206.34,ats01.proxy01.inf.gen.med3.util.bamtech.co,static,10.60.132.34,
,139.104.206.35,ats02.proxy01.inf.gen.med3.util.bamtech.co,static,10.60.132.35,
,139.104.206.36,ats03.proxy01.inf.gen.med3.util.bamtech.co,static,10.60.132.36,
,139.104.206.37,ats01.proxy01.app.gen.med3.util.bamtech.co,static,10.60.132.37,
,139.104.206.38,ats02.proxy01.app.gen.med3.util.bamtech.co,static,10.60.132.38,
,139.104.206.39,ats03.proxy01.app.gen.med3.util.bamtech.co,static,10.60.132.39,
